單字,字頻,拆字1,code1
禧,8272.0,戈火土口口,ifgrr
弓,8272.0,弓,n
蔥,8272.0,廿竹田心,thwp
鵡,8272.0,一一竹日火,mmhaf
謊,8272.0,卜口廿卜山,yrtyu
賈,8272.0,一田月山金,mwbuc
喲,8271.0,口女火戈,rvfi
崎,8271.0,山大一口,ukmr
塌,8271.0,土日尸一,gasm
喳,8271.0,口木日一,rdam
嗜,8271.0,口十心日,rjpa
媚,8271.0,女日竹山,vahu
嫂,8271.0,女竹難水,vhxe
徊,8270.0,竹人田口,howr
拙,8270.0,手山山,quu
咯,8270.0,口竹水口,rher
剔,8270.0,日竹中弓,ahln
秒,8270.0,竹木火竹,hdfh
咐,8270.0,口人木戈,rodi
迄,8270.0,卜人弓,yon
刪,8269.0,月廿中弓,btln
皂,8269.0,竹日心,hap
瀕,8269.0,水卜竹金,eyhc
云,8269.0,一一戈,mmi
薑,8269.0,廿一田一,tmwm
于,8269.0,一木,md
癢,8269.0,大廿人女,ktov
諮,8268.0,卜口戈人口,yrior
蝸,8268.0,中戈月月口,libbr
餡,8268.0,人戈弓竹難,oinhx
粹,8268.0,火木卜人十,fdyoj
蔽,8268.0,廿火月大,tfbk
嚀,8268.0,口十心弓,rjpn
傭,8267.0,人戈中月,oilb
摺,8267.0,手尸一日,qsma
嗓,8267.0,口水水木,reed
瑣,8267.0,一土火月金,mgfbc
溉,8267.0,水日戈山,eaiu
滯,8267.0,水大心月,ekpb
寢,8267.0,十女一水,jvme
椎,8266.0,木人土,dog
崙,8266.0,山人一月,uomb
嵌,8266.0,山廿一人,utmo
啄,8266.0,口一尸人,rmso
荊,8266.0,廿一廿弓,tmtn
啤,8266.0,口竹田十,rhwj
茵,8266.0,廿田大,twk
枉,8265.0,木一土,dmg
沼,8265.0,水尸竹口,eshr
栩,8265.0,木尸一一,dsmm
妄,8265.0,卜女女,yvv
胰,8265.0,月大弓,bkn
咒,8265.0,口口竹弓,rrhn
甫,8265.0,戈十月,ijb
撕,8264.0,手廿金中,qtcl
蠻,8264.0,女火中一戈,vflmi
蜀,8264.0,田中心中戈,wlpli
蹦,8264.0,口一山月月,rmubb
鉤,8264.0,金心口,cpr
朦,8264.0,月廿月人,btbo
棘,8263.0,木月木月,dbdb
郝,8263.0,,
肆,8263.0,尸戈中手,silq
屠,8263.0,尸十大日,sjka
耍,8263.0,一月女,mbv
砍,8263.0,一口弓人,mrno
搗,8263.0,手竹日山,qhau
灼,8262.0,火心戈,fpi
肫,8262.0,月心山,bpu
岡,8262.0,月廿山,btu
峇,8262.0,,
螃,8262.0,中戈卜月尸,liybs
嚥,8262.0,口廿中火,rtlf
熄,8261.0,火竹山心,fhup
稽,8261.0,竹木戈山日,hdiua
槐,8261.0,木竹山戈,dhui
趟,8261.0,土人火月口,gofbr
蔓,8261.0,廿日田水,tawe
嘖,8261.0,口手一金,rqmc
摟,8261.0,手中中女,qllv
隕,8260.0,弓中口月金,nlrbc
詭,8260.0,卜口弓一山,yrnmu
悍,8260.0,心日一十,pamj
梧,8260.0,木一一口,dmmr
琦,8260.0,,
娶,8260.0,尸水女,sev
厄,8259.0,一尸山,msu
囚,8259.0,田人,wo
攬,8259.0,手尸田山,qswu
曳,8259.0,中田心,lwp
坎,8259.0,土弓人,gno
咕,8259.0,口十口,rjr
拌,8259.0,手火手,qfq
翹,8258.0,土山尸一一,gusmm
蒐,8258.0,廿竹山戈,thui
璧,8258.0,尸十一土戈,sjmgi
瞎,8258.0,月山十手口,bujqr
樁,8258.0,木手大難,dqkx
龐,8258.0,戈卜月心,iybp
雍,8257.0,卜女竹土,yvhg
蓉,8257.0,廿十金口,tjcr
窘,8257.0,十金尸大口,jcskr
嶄,8257.0,山十十中,ujjl
熙,8257.0,尸山火,suf
瑚,8257.0,一土十口月,mgjrb
哮,8256.0,口十大木,rjkd
淹,8256.0,水大中山,eklu
秧,8256.0,竹木中月大,hdlbk
淫,8256.0,水月竹土,ebhg
啼,8256.0,口卜月月,rybb
怯,8256.0,心土戈,pgi
勿,8255.0,心竹竹,phh
伺,8255.0,人尸一口,osmr
鑰,8255.0,金人一月,comb
抉,8255.0,手木大,qdk
鸚,8255.0,月女竹日火,bvhaf
匣,8255.0,尸田中,swl
黯,8254.0,田火卜廿日,wfyta
翰,8254.0,十十人尸一,jjosm
謬,8254.0,卜口尸一竹,yrsmh
竄,8254.0,十金竹難女,jchxv
攪,8254.0,手竹月山,qhbu
蠢,8254.0,手日中戈戈,qalii
棧,8253.0,木戈戈,dii
瞇,8253.0,月山卜火木,buyfd
穎,8253.0,心木一月金,pdmbc
歎,8253.0,,
儉,8253.0,人人一人,oomo
熬,8253.0,土大火,gkf
罹,8253.0,田中心人土,wlpog
浦,8252.0,水戈十月,eijb
坤,8252.0,土中田中,glwl
梢,8252.0,木火月,dfb
祇,8252.0,戈火竹女心,ifhvp
涕,8252.0,水金弓竹,ecnh
烘,8252.0,火廿金,ftc
匈,8251.0,心山大,puk
乞,8251.0,人弓,on
躁,8251.0,口一口口木,rmrrd
繽,8251.0,女火十一金,vfjmc
攔,8251.0,手日弓田,qanw
圳,8251.0,土中中中,glll
鯉,8250.0,弓火田土,nfwg
篤,8250.0,竹尸手火,hsqf
攏,8250.0,手卜月心,qybp
濾,8250.0,水卜心心,eypp
魏,8250.0,竹女竹山戈,hvhui
磯,8250.0,一口女戈戈,mrvii
澆,8249.0,水土土山,eggu
瘡,8249.0,大人戈口,koir
鈕,8249.0,金弓土,cng
琉,8249.0,一土卜戈山,mgyiu
詹,8249.0,弓金卜一口,ncymr
杞,8248.0,木尸山,dsu
埔,8248.0,土戈十月,gijb
妃,8248.0,女尸山,vsu
迦,8248.0,卜大尸口,yksr
肖,8248.0,火月,fb
甸,8248.0,心田,pw
緞,8247.0,女火竹十水,vfhje
瓊,8247.0,一土弓月水,mgnbe
禦,8247.0,竹中一一火,hlmmf
扔,8247.0,手弓竹尸,qnhs
竊,8247.0,十金竹木月,jchdb
鑿,8247.0,廿水金,tec
榕,8246.0,木十金口,djcr
隙,8246.0,弓中火日火,nlfaf
淇,8246.0,水廿一金,etmc
蒜,8246.0,廿一火火,tmff
嗯,8246.0,口田大心,rwkp
逍,8246.0,卜火月,yfb
晝,8245.0,中土日一,lgam
峭,8245.0,山火月,ufb
洽,8245.0,水人一口,eomr
哼,8245.0,口卜口弓,ryrn
乍,8245.0,人尸,os
凹,8245.0,尸尸山,ssu
薛,8244.0,廿竹口十,thrj
擱,8244.0,手日弓口,qanr
窯,8244.0,十金廿土火,jctgf
醇,8244.0,一田卜口木,mwyrd
豫,8244.0,弓弓弓日人,nnnao
椰,8243.0,木尸十中,dsjl
鉅,8243.0,,
竭,8243.0,卜廿日心女,ytapv
摔,8243.0,手卜戈十,qyij
眺,8243.0,月山中一人,bulmo
冕,8242.0,日弓日山,anau
沫,8242.0,水木十,edj
框,8242.0,木尸一土,dsmg
芹,8242.0,廿竹一中,thml
杖,8242.0,木十大,djk
茄,8242.0,廿大尸口,tksr
輻,8241.0,十十一口田,jjmrw
徽,8241.0,竹人山火大,houfk
兇,8241.0,山大竹山,ukhu
賤,8241.0,月金戈戈,bcii
履,8241.0,尸竹人水,shoe
嘔,8240.0,口尸口口,rsrr
榔,8240.0,木戈戈中,diil
筍,8240.0,竹心日,hpa
滲,8240.0,水戈戈竹,eiih
渺,8240.0,水月山竹,ebuh
魁,8240.0,竹戈卜十,hiyj
彭,8239.0,土廿竹竹竹,gthhh
畜,8239.0,卜女戈田,yviw
耘,8239.0,手木一一戈,qdmmi
吼,8239.0,口弓木山,rndu
邱,8239.0,人一弓中,omnl
壤,8238.0,土卜口女,gyrv
划,8238.0,戈中弓,iln
鑲,8238.0,金卜口女,cyrv
爪,8238.0,竹中人,hlo
廬,8238.0,戈卜心廿,iypt
丫,8238.0,金中,cl
澈,8237.0,水卜月大,eybk
釐,8237.0,十大一田土,jkmwg
蕃,8237.0,廿竹木田,thdw
膏,8237.0,卜口月月,yrbb
瘤,8237.0,大竹竹田,khhw
袱,8236.0,中人戈大,loik
奠,8236.0,廿田大,twk
暇,8236.0,日口尸水,arse
煎,8236.0,廿月弓火,tbnf
煉,8236.0,火木田火,fdwf
宛,8235.0,十弓戈山,jniu
洶,8235.0,水心山大,epuk
桐,8235.0,木月一口,dbmr
躬,8235.0,竹竹弓,hhn
御,8235.0,竹人人一中,hooml
梵,8235.0,木木竹弓戈,ddhni
邏,8234.0,卜田中土,ywlg
鷺,8234.0,口口竹日火,rrhaf
汀,8234.0,水一弓,emn
帆,8234.0,中月竹弓戈,lbhni
狄,8234.0,大竹火,khf
賜,8233.0,月金日心竹,bcaph
褐,8233.0,中日心女,lapv
黛,8233.0,人心田土火,opwgf
槽,8233.0,木廿田日,dtwa
錫,8233.0,金日心竹,caph
棕,8232.0,木十一火,djmf
榴,8232.0,木竹竹田,dhhw
賄,8232.0,月金大月,bckb
媳,8232.0,女竹山心,vhup
腕,8232.0,月十弓山,bjnu
詮,8232.0,卜口人一土,yromg
眷,8231.0,火手月山,fqbu
陀,8231.0,弓中十心,nljp
飢,8231.0,人戈竹弓,oihn
卿,8231.0,竹竹日戈中,hhail
畔,8231.0,田火手,wfq
刮,8230.0,竹口中弓,hrln
卸,8230.0,人一尸中,omsl
卒,8230.0,卜人人十,yooj
襖,8230.0,中竹月大,lhbk
灶,8230.0,火土,fg
簇,8229.0,竹卜尸大,hysk
簿,8229.0,竹水戈戈,heii
襟,8229.0,中木木火,lddf
瀟,8229.0,水廿中難,etlx
澀,8229.0,水尸戈一,esim
締,8228.0,女火卜月月,vfybb
綢,8228.0,女火月土口,vfbgr
穆,8228.0,竹木竹日竹,hdhah
橡,8228.0,木弓日人,dnao
凳,8228.0,弓人一口弓,nomrn
掠,8227.0,手卜口火,qyrf
盞,8227.0,戈戈月廿,iibt
浸,8227.0,水尸一水,esme
淵,8227.0,水中難中,elxl
挪,8227.0,手尸手中,qsql
揀,8227.0,手木田火,qdwf
拭,8226.0,手戈心一,qipm
冤,8226.0,月弓日戈,bnai
峻,8226.0,山戈金水,uice
歪,8226.0,一火一卜一,mfmym
簾,8225.0,竹戈廿金,hitc
蠅,8225.0,中戈口難山,lirxu
函,8225.0,山弓水,une
旨,8225.0,心日,pa
旬,8225.0,心日,pa
瞻,8224.0,月山弓金口,buncr
艙,8224.0,竹卜人戈口,hyoir
盧,8224.0,卜心田月廿,ypwbt
櫥,8224.0,木戈土戈,digi
瀉,8224.0,水十竹火,ejhf
煥,8223.0,火弓月大,fnbk
緝,8223.0,女火口尸十,vfrsj
鈔,8223.0,金火竹,cfh
銜,8223.0,竹人金一弓,hocmn
筷,8223.0,竹心木大,hpdk
秩,8222.0,竹木竹手人,hdhqo
叛,8222.0,火手竹水,fqhe
剖,8222.0,卜口中弓,yrln
冥,8222.0,月日卜金,bayc
覓,8222.0,月月山山,bbuu
鏽,8221.0,金中難,clx
拘,8221.0,手心口,qpr
簷,8221.0,竹弓金口,hncr
戈,8221.0,戈,i
汰,8221.0,水大戈,eki
撤,8220.0,手卜月大,qybk
溺,8220.0,水弓一一,enmm
膩,8220.0,月戈心金,bipc
濁,8220.0,水田中戈,ewli
頌,8220.0,金戈一月金,cimbc
栓,8219.0,木人一土,domg
矩,8219.0,人大尸尸,okss
溯,8219.0,水廿山月,etub
菁,8219.0,廿手一月,tqmb
竿,8218.0,竹一十,hmj
沛,8218.0,水十月,ejb
哇,8218.0,口土土,rgg
禿,8218.0,竹木竹山,hdhu
旱,8218.0,日一十,amj
逸,8217.0,卜弓日戈,ynai
裹,8217.0,卜田木女,ywdv
蕉,8217.0,廿人土火,togf
掏,8217.0,手心人山,qpou
婉,8217.0,女十弓山,vjnu
偵,8216.0,人卜月金,oybc
豹,8216.0,月竹心戈,bhpi
衷,8216.0,十中竹女,jlhv
栽,8216.0,十戈木,jid
陋,8215.0,弓中一月女,nlmbv
泌,8215.0,水心竹,eph
拯,8215.0,手弓水一,qnem
屑,8215.0,尸火月,sfb
矽,8215.0,一口弓戈,mrni
札,8214.0,木山,du
○,8214.0,,
籲,8214.0,竹人月金,hobc
叭,8214.0,口金,rc
凶,8214.0,山大,uk
輿,8213.0,竹難十金,hxjc
濛,8213.0,水廿月人,etbo
遼,8213.0,卜大金火,ykcf
豎,8213.0,尸水一口廿,semrt
鋁,8213.0,金口竹口,crhr
嘲,8212.0,口十十月,rjjb
雇,8212.0,竹尸人土,hsog
傍,8212.0,人卜月尸,oybs
僕,8212.0,人廿金人,otco
斬,8211.0,十十竹一中,jjhml
祈,8211.0,戈火竹一中,ifhml
焉,8211.0,一卜中火,mylf
茅,8211.0,廿弓戈竹,tnih
辰,8211.0,一一一女,mmmv
頰,8210.0,大人一月金,kombc
辮,8210.0,卜十女火十,yjvfj
撼,8210.0,手戈口心,qirp
禱,8210.0,戈火土弓戈,ifgni
釀,8210.0,一田卜口女,mwyrv
楓,8209.0,木竹弓戈,dhni
綁,8209.0,女火手十中,vfqjl
蜥,8209.0,中戈木竹中,lidhl
墳,8209.0,土十廿金,gjtc
惶,8208.0,心竹日土,phag
傢,8208.0,人十一人,ojmo
募,8208.0,廿日大尸,taks
晰,8208.0,日木竹中,adhl
雁,8208.0,一人人土,moog
杭,8207.0,木卜竹弓,dyhn
堵,8207.0,土十大日,gjka
帥,8207.0,竹口中月,hrlb
梳,8207.0,木卜戈山,dyiu
叨,8206.0,口尸竹,rsh
丸,8206.0,大弓戈,kni
瓣,8206.0,卜十竹人十,yjhoj
嚼,8206.0,口月田戈,rbwi
懇,8205.0,月女心,bvp
笛,8205.0,竹中田,hlw
濕,8205.0,,
寡,8205.0,十一金竹,jmch
滔,8205.0,水月竹難,ebhx
侶,8204.0,人口竹口,orhr
砂,8204.0,一口火竹,mrfh
泣,8204.0,水卜廿,eyt
崗,8204.0,,
邪,8203.0,一竹弓中,mhnl
嚮,8203.0,女中竹月口,vlhbr
遵,8203.0,卜廿田戈,ytwi
嚷,8203.0,口卜口女,ryrv
醬,8203.0,女戈一金田,vimcw
諒,8202.0,卜口卜口火,yryrf
僚,8202.0,人大金火,okcf
搞,8202.0,手卜口月,qyrb
螞,8202.0,中戈尸手火,lisqf
剝,8201.0,女水中弓,veln
杉,8201.0,木竹竹竹,dhhh
朽,8201.0,木一女尸,dmvs
曹,8201.0,廿田日,twa
陡,8201.0,弓中土卜人,nlgyo
卜,8200.0,卜,y
驢,8200.0,尸火卜心廿,sfypt
蠟,8200.0,中戈女女女,livvv
蟬,8200.0,中戈口口十,lirrj
嘩,8199.0,口廿一十,rtmj
僵,8199.0,人一田一,omwm
搏,8199.0,手戈月戈,qibi
拱,8199.0,手廿金,qtc
睹,8199.0,月山十大日,bujka
岳,8198.0,人一山,omu
妳,8198.0,女弓火,vnf
削,8198.0,火月中弓,fbln
役,8198.0,竹人竹弓水,hohne
坊,8197.0,土卜竹尸,gyhs
窺,8197.0,十金手人山,jcqou
懲,8197.0,竹大心,hkp
饋,8197.0,,
墾,8196.0,月女土,bvg
狐,8196.0,大竹竹女人,khhvo
逛,8196.0,卜大竹土,ykhg
訣,8196.0,卜口木大,yrdk
昭,8196.0,日尸竹口,ashr
鍾,8195.0,金竹十土,chjg
鬚,8195.0,尸竹竹竹金,shhhc
儒,8195.0,人一月月,ombb
隸,8195.0,木火中水,dfle
溢,8194.0,水廿金廿,etct
菩,8194.0,廿卜廿口,tytr
絨,8194.0,女火戈十,vfij
颱,8194.0,竹弓戈口,hnir
湊,8193.0,水手大大,eqkk
宰,8193.0,十卜廿十,jytj
犀,8193.0,尸水竹手,sehq
莓,8193.0,廿人田卜,towy
仗,8192.0,人十大,ojk
拚,8192.0,手戈廿,qit
披,8192.0,手木竹水,qdhe
龜,8192.0,竹月尸尸,hbss
衍,8192.0,竹人水一弓,hoemn
噹,8191.0,口火月田,rfbw
雌,8191.0,卜一心人土,ympog
煤,8191.0,火廿一木,ftmd
諷,8191.0,卜口竹弓戈,yrhni
笨,8190.0,竹木一,hdm
栗,8190.0,一田木,mwd
狼,8190.0,大竹戈日女,khiav
豚,8190.0,月一尸人,bmso
篩,8189.0,竹竹口月,hhrb
藤,8189.0,廿月火水,tbfe
虐,8189.0,卜心尸一,ypsm
聳,8189.0,竹人尸十,hosj
嘻,8188.0,口土口口,rgrr
聘,8188.0,尸十中田尸,sjlws
煌,8188.0,火竹日土,fhag
甦,8188.0,一大竹手一,mkhqm
莎,8187.0,廿水火竹,tefh
喧,8187.0,口十一一,rjmm
疹,8187.0,大人竹竹,kohh
梭,8187.0,木戈金水,dice
殷,8186.0,竹尸竹弓水,hshne
咳,8186.0,口卜女人,ryvo
唉,8186.0,口戈人大,riok
哦,8186.0,口竹手戈,rhqi
歧,8185.0,卜一十水,ymje
叉,8185.0,水戈,ei
仇,8185.0,人大弓,okn
蘋,8185.0,廿卜竹金,tyhc
檳,8184.0,木十一金,djmc
濱,8184.0,水十一金,ejmc
闖,8184.0,日弓尸手火,ansqf
燙,8184.0,水竹火,ehf
鼎,8183.0,月山女一中,buvml
賠,8183.0,月金卜廿口,bcytr
辣,8183.0,卜十木中,yjdl
潭,8183.0,水一田十,emwj
娜,8182.0,女尸手中,vsql
沸,8182.0,水中中弓,elln
腎,8182.0,尸水月,seb
偽,8182.0,人戈大火,oikf
蔭,8181.0,廿弓中戈,tnli
漿,8181.0,女戈水,vie
凸,8181.0,月尸尸,bss
矣,8181.0,戈人大,iok
淪,8180.0,水人一月,eomb
淒,8180.0,水十中女,ejlv
恥,8180.0,尸十心,sjp
塢,8180.0,土竹口火,ghrf
范,8179.0,廿水尸山,tesu
宵,8179.0,十火月,jfb
沾,8179.0,水卜口,eyr
畏,8179.0,田一女,wmv
駱,8178.0,尸火竹水口,sfher
瞪,8178.0,月山弓人廿,bunot
膝,8178.0,月木人水,bdoe
矚,8178.0,月山尸水戈,busei
棲,8177.0,木十中女,djlv
僧,8177.0,人金田日,ocwa
撰,8177.0,手口山金,qruc
澄,8177.0,水弓人廿,enot
辱,8176.0,一女木戈,mvdi
倆,8176.0,人一中月,omlb
劣,8176.0,火竹大尸,fhks
茲,8176.0,廿女戈戈,tvii
哩,8175.0,口田土,rwg
爹,8175.0,金大弓戈弓,cknin
挽,8175.0,手弓日山,qnau
狠,8175.0,大竹日女,khav
屁,8174.0,尸心心,spp
侯,8174.0,人弓一大,onmk
兆,8174.0,中一山人,lmuo
驟,8173.0,尸火尸水人,sfseo
仕,8173.0,人土,og
薦,8173.0,,
壘,8173.0,田田田土,wwwg
匪,8172.0,尸中一卜,slmy
允,8172.0,戈竹山,ihu
墜,8172.0,弓人土,nog
勾,8172.0,心戈,pi
燦,8171.0,火卜水木,fyed
顫,8171.0,卜一一月金,ymmbc
巾,8171.0,中月,lb
惹,8171.0,廿大口心,tkrp
欺,8170.0,廿金弓人,tcno
莉,8170.0,廿竹木弓,thdn
戚,8170.0,戈竹卜一火,ihymf
俊,8169.0,人戈金水,oice
咪,8169.0,口火木,rfd
洩,8169.0,,
衫,8169.0,中竹竹竹,lhhh
髓,8168.0,月月卜大月,bbykb
吻,8168.0,口心竹竹,rphh
仲,8168.0,人中,ol
騷,8168.0,尸火水戈戈,sfeii
鬍,8167.0,尸竹十口月,shjrb
謎,8167.0,卜口卜火木,yryfd
謹,8167.0,卜口廿中一,yrtlm
誓,8166.0,手中卜一口,qlymr
瑜,8166.0,一土人一弓,mgomn
皺,8166.0,心山木竹水,pudhe
鉛,8166.0,金金口,ccr
倚,8165.0,人大一口,okmr
堤,8165.0,土日一人,gamo
恍,8165.0,心火一山,pfmu
崩,8165.0,山月月,ubb
弗,8164.0,中中弓,lln
剎,8164.0,大金中弓,kcln
髒,8164.0,月月廿一廿,bbtmt
糟,8163.0,火木廿田日,fdtwa
軀,8163.0,竹竹尸口口,hhsrr
篷,8163.0,竹卜竹十,hyhj
螢,8163.0,火火月中戈,ffbli
賊,8162.0,月金戈十,bcij
飼,8162.0,人戈尸一口,oismr
綱,8162.0,女火月廿山,vfbtu
瘧,8162.0,大卜心一,kypm
辜,8161.0,十口卜廿十,jrytj
壺,8161.0,土月中一,gblm
棚,8161.0,木月月,dbb
芝,8160.0,廿戈弓人,tino
枕,8160.0,木中月山,dlbu
喃,8160.0,口十月十,rjbj
魄,8160.0,竹日竹山戈,hahui
趁,8159.0,土人人竹竹,goohh
逗,8159.0,卜一口廿,ymrt
頑,8159.0,一山一月金,mumbc
肪,8158.0,月卜竹尸,byhs
咱,8158.0,口竹月山,rhbu
晉,8158.0,一戈戈日,miia
掀,8158.0,手竹中人,qhlo
蹲,8157.0,口一廿田戈,rmtwi
吱,8157.0,口十水,rje
妥,8157.0,月女,bv
註,8156.0,卜口卜土,yryg
裙,8156.0,中尸大口,lskr
蝕,8156.0,人戈中一戈,oilmi
裸,8156.0,中田木,lwd
唸,8155.0,口人戈心,roip
倘,8155.0,人火月口,ofbr
枚,8155.0,木人大,dok
霜,8154.0,一月木月山,mbdbu
伐,8154.0,人戈,oi
藩,8154.0,廿水竹田,tehw
雛,8154.0,心山人土,puog
濤,8153.0,水土弓戈,egni
諧,8153.0,卜口心心日,yrppa
澡,8153.0,水口口木,errd
跪,8152.0,口一弓一山,rmnmu
橘,8152.0,木弓竹月,dnhb
蔡,8152.0,廿月人火,tbof
遣,8152.0,卜中一口,ylmr
愧,8151.0,心竹山戈,phui
訝,8151.0,卜口一女竹,yrmvh
倡,8151.0,人日日,oaa
赴,8150.0,土人卜,goy
轟,8150.0,十十十十十,jjjjj
忌,8150.0,尸山心,sup
瞧,8149.0,月山人土火,buogf
蕙,8149.0,廿十戈心,tjip
鵑,8149.0,口月竹日火,rbhaf
濫,8149.0,水尸戈廿,esit
梨,8148.0,竹弓木,hnd
溶,8148.0,水十金口,ejcr
暈,8148.0,日月十十,abjj
犬,8147.0,戈大,ik
啞,8147.0,口一中一,rmlm
襯,8147.0,中卜木山,lydu
挨,8147.0,手戈人大,qiok
踢,8146.0,口一日心竹,rmaph
猩,8146.0,大竹日竹一,khahm
僑,8146.0,人竹大月,ohkb
欽,8145.0,金弓人,cno
爽,8145.0,大大大大,kkkk
喬,8145.0,竹大口月口,hkrbr
燥,8144.0,火口口木,frrd
鑼,8144.0,金田中土,cwlg
盲,8144.0,卜女月山,yvbu
賭,8143.0,月金十大日,bcjka
酷,8143.0,一田竹土口,mwhgr
萎,8143.0,廿竹木女,thdv
愚,8143.0,田月心,wbp
廁,8142.0,戈月金弓,ibcn
脾,8142.0,月竹田十,bhwj
喇,8142.0,口木中弓,rdln
俠,8141.0,人大人人,okoo
拋,8141.0,手大山尸,qkus
帕,8141.0,中月竹日,lbha
顛,8140.0,十金一月金,jcmbc
夷,8140.0,大弓,kn
呂,8140.0,口竹口,rhr
鹽,8140.0,尸田月廿,swbt
疆,8139.0,弓土一田一,ngmwm
彌,8139.0,弓一火月,nmfb
踩,8138.0,口一月木,rmbd
瓷,8138.0,戈人一女弓,iomvn
遮,8138.0,卜戈廿火,yitf
乖,8137.0,竹十中心,hjlp
扯,8137.0,手卜中一,qylm
屆,8137.0,尸山土,sug
踐,8136.0,口一戈戈,rmii
駝,8136.0,尸火十心,sfjp
蕭,8136.0,廿中難,tlx
抄,8136.0,手火竹,qfh
玲,8135.0,一土人戈戈,mgoii
蓬,8135.0,廿卜竹十,tyhj
脖,8135.0,月十月木,bjbd
泊,8134.0,水竹日,eha
牡,8134.0,竹手土,hqg
芒,8134.0,廿卜女,tyv
矛,8133.0,弓戈弓竹,ninh
汝,8133.0,水女,ev
穴,8133.0,十金,jc
醜,8132.0,一田竹山戈,mwhui
譜,8132.0,卜口廿金日,yrtca
騙,8132.0,尸火竹尸月,sfhsb
賦,8131.0,月金一心一,bcmpm
貶,8131.0,月金竹戈人,bchio
蝦,8131.0,中戈口尸水,lirse
桶,8130.0,木弓戈月,dnib
捲,8130.0,手火手山,qfqu
焚,8130.0,木木火,ddf
翔,8130.0,廿手尸一一,tqsmm
崖,8129.0,山一土土,umgg
庸,8129.0,戈中月,ilb
株,8129.0,木竹十木,dhjd
妝,8128.0,女一女,vmv
卓,8128.0,卜日十,yaj
癮,8127.0,大弓中心,knlp
謙,8127.0,卜口廿難金,yrtxc
螺,8127.0,中戈田女火,liwvf
廈,8126.0,戈一山水,imue
蔔,8126.0,廿心一田,tpmw
歉,8126.0,廿金弓人,tcno
捧,8125.0,手手大手,qqkq
呵,8125.0,口一弓口,rmnr
紮,8125.0,木山女戈火,duvif
瀑,8124.0,水日廿水,eate
禪,8124.0,戈火口口十,ifrrj
闢,8124.0,日弓尸口十,ansrj
瞬,8123.0,月山月月手,bubbq
暮,8123.0,廿日大日,taka
憾,8123.0,心戈口心,pirp
嫩,8122.0,女木中大,vdlk
碩,8122.0,一口一月金,mrmbc
煮,8122.0,十日火,jaf
臭,8121.0,竹山戈大,huik
昔,8121.0,廿日,ta
娛,8121.0,女口女大,vrvk
櫃,8120.0,木尸中金,dslc
匹,8120.0,尸金,sc
犧,8120.0,竹手廿土尸,hqtgs
舅,8119.0,竹難田大尸,hxwks
喉,8119.0,口人弓大,ronk
喘,8119.0,口山一月,rumb
巢,8118.0,女女田木,vvwd
澎,8118.0,水土廿竹,egth
扁,8117.0,竹尸月廿,hsbt
捏,8117.0,手日土,qag
填,8117.0,土十月金,gjbc
蘿,8116.0,廿田中土,twlg
怖,8116.0,心大中月,pklb
懶,8116.0,心木中金,pdlc
糞,8115.0,火木田廿金,fdwtc
蕾,8115.0,廿一月田,tmbw
盼,8114.0,月山金尸竹,bucsh
楞,8114.0,木田中尸,dwls
毯,8114.0,竹山火火,huff
弦,8113.0,弓卜女戈,nyvi
鯨,8113.0,弓火卜口火,nfyrf
盾,8113.0,竹十月山,hjbu
糧,8112.0,火木日一土,fdamg
嶼,8112.0,山竹難金,uhxc
碌,8111.0,一口弓一水,mrnme
蔬,8111.0,廿弓一山,tnmu
擋,8111.0,手火月田,qfbw
拳,8110.0,火手手,fqq
睜,8110.0,月山月尸木,bubsd
脊,8110.0,火金月,fcb
倉,8109.0,人戈日口,oiar
抹,8109.0,手木十,qdj
妓,8109.0,女十水,vje
蘆,8108.0,廿卜心廿,typt
斥,8108.0,竹一卜,hmy
鶴,8108.0,十土竹日火,jghaf
誦,8107.0,卜口弓戈月,yrnib
鞭,8107.0,廿十人一大,tjomk
墊,8107.0,土戈土,gig
羞,8106.0,廿手弓土,tqng
烤,8106.0,火十大尸,fjks
凌,8106.0,戈一土金水,imgce
鍊,8105.0,金木田火,cdwf
燭,8105.0,火田中戈,fwli
芙,8105.0,廿手人,tqo
餃,8104.0,人戈卜金大,oiyck
鴉,8104.0,一竹竹日火,mhhaf
魅,8104.0,竹戈十木,hijd
污,8103.0,,
腺,8103.0,月竹日水,bhae
弊,8102.0,火大廿,fkt
蕩,8102.0,廿水日竹,teah
磁,8102.0,一口廿女戈,mrtvi
驕,8101.0,尸火竹大月,sfhkb
征,8101.0,竹人一卜一,homym
嫌,8101.0,女廿難金,vtxc
薯,8100.0,廿田中日,twla
翼,8100.0,尸一田廿金,smwtc
譬,8100.0,尸十卜一口,sjymr
敞,8099.0,火月人大,fbok
軸,8099.0,十十中田,jjlw
悔,8098.0,心人田卜,powy
珊,8098.0,一土月月一,mgbbm
伍,8097.0,人一木一,omdm
芬,8097.0,廿金尸竹,tcsh
昇,8097.0,,
欄,8096.0,木日弓田,danw
罐,8096.0,人山廿口土,outrg
仿,8096.0,人卜竹尸,oyhs
誼,8095.0,卜口十月一,yrjbm
嫁,8095.0,女十一人,vjmo
銘,8095.0,金弓戈口,cnir
郭,8094.0,卜木弓中,ydnl
紡,8094.0,女火卜竹尸,vfyhs
佔,8093.0,人卜口,oyr
舟,8093.0,竹月卜戈,hbyi
倦,8093.0,人火手山,ofqu
匙,8092.0,日人心,aop
