單字,字頻,拆字1,code1
目,39014.0,月山,bu
件,38852.0,人竹手,ohq
面,38541.0,一田尸中,mwsl
權,38124.0,木廿口土,dtrg
整,38064.0,木大一卜一,dkmym
平,38033.0,一火十,mfj
響,37917.0,女中卜廿日,vlyta
漲,37911.0,水弓尸女,ensv
基,37863.0,廿金土,tcg
單,37689.0,口口田十,rrwj
推,37404.0,手人土,qog
影,37321.0,日火竹竹竹,afhhh
轉,37311.0,十十十戈戈,jjjii
收,37239.0,女中人大,vlok
次,37216.0,戈一弓人,imno
二,37047.0,一一,mm
央,36827.0,中月大,lbk
各,36107.0,竹水口,her
風,36035.0,竹弓竹中戈,hnhli
題,35969.0,日人一月金,aombc
入,35883.0,人竹,oh
值,35804.0,人十月一,ojbm
變,35782.0,女火人大,vfok
辦,35743.0,卜十大尸十,yjksj
明,35565.0,日月,ab
已,35465.0,尸山,su
品,35457.0,口口口,rrr
他,35361.0,人心木,opd
求,35348.0,戈十水,ije
也,35288.0,心木,pd
設,35118.0,卜口竹弓水,yrhne
土,34810.0,土,g
到,34690.0,一土中弓,mgln
通,34680.0,卜弓戈月,ynib
無,34512.0,人廿火,otf
近,34458.0,卜竹一中,yhml
示,34358.0,一一火,mmf
開,34260.0,日弓一廿,anmt
項,34116.0,一一月金,mmbc
社,33869.0,戈火土,ifg
受,33755.0,月月水,bbe
別,33730.0,口尸中弓,rsln
臺,33653.0,土口月土,grbg
議,33569.0,卜口廿土戈,yrtgi
效,33070.0,卜大人大,ykok
正,32893.0,一卜中一,mylm
則,32869.0,月金中弓,bcln
依,32819.0,人卜竹女,oyhv
當,32646.0,火月口田,fbrw
這,32591.0,卜卜一口,yymr
例,32393.0,人一弓弓,omnn
且,32279.0,月一,bm
南,32101.0,十月廿十,jbtj
但,32082.0,人日一,oam
此,32046.0,卜一心,ymp
物,31847.0,竹手心竹竹,hqphh
問,31806.0,日弓口,anr
置,31382.0,田中十月一,wljbm
了,31304.0,弓弓,nn
準,31226.0,水土十,egj
使,30867.0,人十中大,ojlk
灣,30606.0,水女火弓,evfn
仍,30402.0,人弓竹尸,onhs
就,30384.0,卜火戈大山,yfiku
生,29987.0,竹手一,hqm
修,29946.0,人中竹竹,olhh
幅,29802.0,中月一口田,lbmrw
美,29711.0,廿土大,tgk
穩,29682.0,竹木月一心,hdbmp
徵,29385.0,竹人山土大,hougk
心,29182.0,心,p
非,29151.0,中一尸卜,lmsy
申,29135.0,中田中,lwl
積,29072.0,竹木手一金,hdqmc
範,28895.0,竹十十山,hjju
點,28755.0,田火卜口,wfyr
億,28688.0,人卜廿心,oytp
事,28660.0,十中中弓,jlln
展,28606.0,尸廿女,stv
採,28571.0,手月木,qbd
司,28447.0,尸一口,smr
築,28416.0,竹一弓木,hmnd
聯,28371.0,尸十女戈廿,sjvit
費,28357.0,中弓月山金,lnbuc
統,28302.0,女火卜戈山,vfyiu
助,28152.0,月一大尸,bmks
餘,28135.0,人戈人一木,oiomd
際,28132.0,弓中月人火,nlbof
眾,27882.0,田中人人人,wlooo
支,27827.0,十水,je
去,27791.0,土戈,gi
配,27644.0,一田尸山,mwsu
具,27322.0,月一一金,bmmc
致,27174.0,一土人大,mgok
企,27137.0,人卜中一,oylm
顯,27045.0,日火一月金,afmbc
取,27012.0,尸十水,sje
據,26985.0,手卜心人,qypo
處,26844.0,卜心竹水弓,yphen
勢,26787.0,土戈大尸,giks
導,26768.0,卜山木戈,yudi
強,26607.0,弓戈中戈,nili
適,26596.0,卜卜金月,yycb
義,26505.0,廿土竹手戈,tghqi
居,26240.0,尸十口,sjr
請,26074.0,卜口手一月,yrqmb
惟,25874.0,心人土,pog
源,25856.0,水一竹火,emhf
起,25771.0,土人口山,goru
除,25763.0,弓中人一木,nlomd
改,25545.0,尸山人大,suok
安,25472.0,十女,jv
賣,25450.0,土田中金,gwlc
估,25441.0,人十口,ojr
息,25357.0,竹山心,hup
解,25121.0,弓月尸竹手,nbshq
擴,24979.0,手戈廿金,qitc
程,24912.0,竹木口竹土,hdrhg
底,24894.0,戈竹心一,ihpm
結,24829.0,女火土口,vfgr
還,24794.0,卜田中女,ywlv
債,24770.0,人手一金,oqmc
向,24684.0,竹月口,hbr
算,24648.0,竹月山廿,hbut
查,24648.0,木日一,dam
說,24630.0,卜口金口山,yrcru
型,24577.0,一弓土,mng
意,24568.0,卜廿日心,ytap
員,24562.0,口月山金,rbuc
貨,24439.0,人心月山金,opbuc
審,24313.0,十竹木田,jhdw
研,24055.0,一口一廿,mrmt
證,24047.0,卜口弓人廿,yrnot
式,23823.0,戈心一,ipm
補,23763.0,中戈十月,lijb
回,23743.0,田口,wr
透,23659.0,卜竹木尸,yhds
百,23563.0,一日,ma
果,23560.0,田木,wd
該,23542.0,卜口卜女人,yryvo
析,23523.0,木竹一中,dhml
每,23462.0,人田卜戈,owyi
達,23445.0,卜土廿手,ygtq
承,23300.0,弓弓手人,nnqo
包,23240.0,心口山,pru
東,23195.0,木田,dw
立,23125.0,卜廿,yt
借,23049.0,人廿日,ota
共,23049.0,廿金,tc
股,23000.0,月竹弓水,bhne
原,22825.0,一竹日火,mhaf
僅,22777.0,人廿中一,otlm
少,22742.0,火竹,fh
係,22614.0,人竹女火,ohvf
六,22612.0,卜金,yc
五,22510.0,一木一,mdm
運,22478.0,卜月十十,ybjj
鄉,22418.0,女竹戈戈中,vhiil
文,22372.0,卜大,yk
危,22147.0,弓一尸山,nmsu
特,22117.0,竹手土木戈,hqgdi
核,22054.0,木卜女人,dyvo
專,22025.0,十戈木戈,jidi
評,21998.0,卜口一火十,yrmfj
四,21855.0,田金,wc
緩,21811.0,女火月一水,vfbme
亦,21651.0,卜中弓金,ylnc
協,21617.0,十大尸尸,jkss
匯,21593.0,尸水人土,seog
港,21579.0,水廿金山,etcu
選,21566.0,卜口山金,yruc
興,21465.0,竹難月金,hxbc
認,21437.0,卜口尸戈心,yrsip
